1;CNPJ_CPF;14;1;14
2;UF;2;15;16
3;CLASSE_CONS;1;17;17
4;TIPO_UTILIZ;1;18;18
5;DATA_EMISSAO;8;21;28
6;MODELO;2;29;30
7;SERIE;3;31;33
8;NUMERO_NF;9;34;42
9;CFOP;4;43;46
10;NUM_ITEM;3;47;49
11;COD_ITEM;10;50;59
12;DESCR_ITEM;40;60;99
13;CLASS_ITEM;4;100;103
14;UNIDADE;6;104;109
15;QUANTIDADE_CONTR;12;110;121
16;QUANTIDADE_MED;12;122;133
17;VALOR_TOTAL;11;134;144
18;DESCONTO;11;145;155
19;ACRESC_DESP;11;156;166
20;BASE_ICMS;11;167;177
21;VALOR_ICMS;11;178;188
22;ISENTAS_ICMS;11;189;199
23;OUTROS_VALORES;11;200;210
24;ALIQUOTA;4;211;214
25;SIT_DOC;1;215;215
26;MES_REFERENCIA;4;216;219
27;NUM_CONTR;15;220;234
28;QUANT_FATURADA;12;235;246
29;ALIQ_PIS;6;258;263
30;VLR_PIS;11;264;274
31;ALIQ_COFINS;6;275;280
32;VLR_COFINS;11;281;291
33;IND_DESC_JUD;1;292;292
34;TIPO_ISENCAO;2;293;294
35;HASH_CODE_ARQ;32;300;331
